Disease_id,Symptom_id,relation_type,database
MESH:D010610,D009886,DpS,Hetionet
MESH:D007079,D010149,DpS,Hetionet
MESH:D012186,D017699,DpS,Hetionet
MESH:D010001,D017699,DpS,Hetionet
MESH:D019337,D009325,DpS,Hetionet
MESH:D053040,D011782,DpS,Hetionet
MESH:D008268,D012166,DpS,Hetionet
MESH:D008881,D011602,DpS,Hetionet
MESH:D001172,D010591,DpS,Hetionet
MESH:D002532,D010243,DpS,Hetionet
MESH:D051436,D006316,DpS,Hetionet
MESH:D005910,D001037,DpS,Hetionet
MESH:D008881,D006732,DpS,Hetionet
MESH:D006111,D018908,DpS,Hetionet
DOID:90,D010149,DpS,Hetionet
MESH:D004938,D004417,DpS,Hetionet
MESH:D008268,D058447,DpS,Hetionet
MESH:D003922,D006316,DpS,Hetionet
MESH:D002532,D005132,DpS,Hetionet
MESH:D001714,D004421,DpS,Hetionet
MESH:D002971,D007859,DpS,Hetionet
MESH:D017202,D004489,DpS,Hetionet
MESH:D001932,D006429,DpS,Hetionet
MESH:D008479,D006396,DpS,Hetionet
MESH:D001859,D009437,DpS,Hetionet
MESH:D016640,D020567,DpS,Hetionet
MESH:D010001,D006312,DpS,Hetionet
MESH:D012468,D010243,DpS,Hetionet
MESH:D010610,D020385,DpS,Hetionet
MESH:D015209,D006942,DpS,Hetionet
MESH:D001749,D001750,DpS,Hetionet
MESH:D014594,D006939,DpS,Hetionet
MESH:D012030,D005130,DpS,Hetionet
MESH:D045743,D009846,DpS,Hetionet
MESH:D029424,D059246,DpS,Hetionet
MESH:D011471,D053158,DpS,Hetionet
MESH:D008479,D053578,DpS,Hetionet
MESH:D018204,D015746,DpS,Hetionet
MESH:D001859,D002559,DpS,Hetionet
MESH:D002532,D000648,DpS,Hetionet
MESH:D006258,D055154,DpS,Hetionet
MESH:D001321,D001037,DpS,Hetionet
MESH:D001172,D006930,DpS,Hetionet
MESH:D012878,D012415,DpS,Hetionet
MESH:D011471,D060545,DpS,Hetionet
MESH:D015210,D018771,DpS,Hetionet
MESH:D009103,D020234,DpS,Hetionet
MESH:D002446,D018980,DpS,Hetionet
MESH:D008579,D006429,DpS,Hetionet
MESH:D045743,D006987,DpS,Hetionet
MESH:D014029,D012893,DpS,Hetionet
MESH:D008545,D023341,DpS,Hetionet
MESH:D018317,D014786,DpS,Hetionet
MESH:D008545,D002100,DpS,Hetionet
MESH:D000690,D009128,DpS,Hetionet
MESH:D001321,D007805,DpS,Hetionet
MESH:D018317,D006319,DpS,Hetionet
MESH:D005910,D034381,DpS,Hetionet
MESH:D006258,D001260,DpS,Hetionet
MESH:D008288,D003244,DpS,Hetionet
MESH:D006258,D004438,DpS,Hetionet
MESH:D012878,D006942,DpS,Hetionet
MESH:D018317,D010243,DpS,Hetionet
MESH:D002971,D006311,DpS,Hetionet
MESH:D010300,D002819,DpS,Hetionet
MESH:D009373,D002100,DpS,Hetionet
MESH:D009290,D020189,DpS,Hetionet
MESH:D000437,D005262,DpS,Hetionet
MESH:D013964,D004417,DpS,Hetionet
MESH:D000437,D001259,DpS,Hetionet
MESH:D011471,D003248,DpS,Hetionet
MESH:D010190,D014839,DpS,Hetionet
MESH:D010610,D004172,DpS,Hetionet
MESH:D004827,D020238,DpS,Hetionet
MESH:D000544,D011595,DpS,Hetionet
MESH:D000163,D000855,DpS,Hetionet
MESH:D009103,D012021,DpS,Hetionet
MESH:D003924,D053201,DpS,Hetionet
MESH:D007680,D005335,DpS,Hetionet
MESH:D008881,D003221,DpS,Hetionet
MESH:D003866,D059350,DpS,Hetionet
MESH:D001859,D006472,DpS,Hetionet
MESH:D002311,D004489,DpS,Hetionet
MESH:D053713,D050177,DpS,Hetionet
MESH:D008288,D006942,DpS,Hetionet
MESH:D009373,D053578,DpS,Hetionet
MESH:D000310,D014839,DpS,Hetionet
MESH:D001172,D009912,DpS,Hetionet
MESH:D001714,D003693,DpS,Hetionet
MESH:D000740,D011694,DpS,Hetionet
MESH:D008881,D012678,DpS,Hetionet
MESH:D005910,D004614,DpS,Hetionet
MESH:D000163,D002100,DpS,Hetionet
MESH:D001172,D059350,DpS,Hetionet
MESH:C562840,D004487,DpS,Hetionet
MESH:D006973,D012913,DpS,Hetionet
MESH:D012559,D000857,DpS,Hetionet
MESH:D051436,D006311,DpS,Hetionet
MESH:D014594,D003248,DpS,Hetionet
MESH:D009373,D006429,DpS,Hetionet
MESH:D001321,D010468,DpS,Hetionet
MESH:D009373,D014823,DpS,Hetionet
MESH:D000544,D001039,DpS,Hetionet
MESH:D010195,D041781,DpS,Hetionet
MESH:D000740,D014823,DpS,Hetionet
MESH:D008180,D005132,DpS,Hetionet
MESH:D009383,D020335,DpS,Hetionet
MESH:D003093,D005132,DpS,Hetionet
MESH:D005901,D014786,DpS,Hetionet
MESH:D004827,D020182,DpS,Hetionet
MESH:D005879,D007926,DpS,Hetionet
MESH:D012559,D020820,DpS,Hetionet
MESH:D010195,D011697,DpS,Hetionet
MESH:D000437,D003244,DpS,Hetionet
MESH:D010003,D020886,DpS,Hetionet
MESH:D019955,D004410,DpS,Hetionet
MESH:D003093,D006319,DpS,Hetionet
MESH:D001714,D015430,DpS,Hetionet
MESH:D005922,D011695,DpS,Hetionet
MESH:D018204,D009461,DpS,Hetionet
MESH:D004827,D001264,DpS,Hetionet
MESH:D016535,D005311,DpS,Hetionet
MESH:D016584,D016857,DpS,Hetionet
MESH:D003866,D010148,DpS,Hetionet
MESH:D011471,D053201,DpS,Hetionet
MESH:D006258,D014826,DpS,Hetionet
MESH:D054990,D012891,DpS,Hetionet
MESH:D008175,D001416,DpS,Hetionet
MESH:D019042,D009886,DpS,Hetionet
MESH:D012004,D000855,DpS,Hetionet
MESH:D004938,D006469,DpS,Hetionet
MESH:D014820,D006316,DpS,Hetionet
MESH:D009373,D003638,DpS,Hetionet
MESH:D000740,D011693,DpS,Hetionet
MESH:D013736,D014770,DpS,Hetionet
MESH:D019042,D004417,DpS,Hetionet
MESH:D014846,D014549,DpS,Hetionet
MESH:D004938,D010149,DpS,Hetionet
MESH:D012030,D004410,DpS,Hetionet
MESH:D017544,D015746,DpS,Hetionet
MESH:D002532,D009461,DpS,Hetionet
MESH:D010300,D004421,DpS,Hetionet
MESH:D000544,D011596,DpS,Hetionet
MESH:D000544,D003147,DpS,Hetionet
MESH:D012878,D001260,DpS,Hetionet
MESH:D003093,D003967,DpS,Hetionet
MESH:D018204,D020335,DpS,Hetionet
MESH:D006973,D005132,DpS,Hetionet
MESH:D000163,D009437,DpS,Hetionet
MESH:D053040,D000006,DpS,Hetionet
MESH:D001321,D006311,DpS,Hetionet
MESH:D011565,D011537,DpS,Hetionet
MESH:D001289,D007806,DpS,Hetionet
MESH:D017544,D005334,DpS,Hetionet
MESH:D010024,D059352,DpS,Hetionet
MESH:D005134,D034381,DpS,Hetionet
MESH:D018204,D006396,DpS,Hetionet
MESH:D004827,D010291,DpS,Hetionet
MESH:D003866,D004409,DpS,Hetionet
MESH:D010040,D006316,DpS,Hetionet
MESH:D012148,D020189,DpS,Hetionet
MESH:D001172,D017288,DpS,Hetionet
MESH:D001932,D003221,DpS,Hetionet
MESH:D009765,D055948,DpS,Hetionet
MESH:D011565,D023341,DpS,Hetionet
MESH:D000740,D020567,DpS,Hetionet
MESH:D006258,D006356,DpS,Hetionet
MESH:D002532,D000425,DpS,Hetionet
MESH:D001172,D011696,DpS,Hetionet
MESH:D003922,D003638,DpS,Hetionet
MESH:D004827,D008569,DpS,Hetionet
MESH:D014625,D010146,DpS,Hetionet
MESH:D006111,D002819,DpS,Hetionet
MESH:D000690,D010243,DpS,Hetionet
MESH:D001172,D008998,DpS,Hetionet
MESH:D010300,D020189,DpS,Hetionet
MESH:D013167,D006319,DpS,Hetionet
MESH:D024821,D053448,DpS,Hetionet
MESH:D009290,D002375,DpS,Hetionet
MESH:D007078,D018589,DpS,Hetionet
MESH:D010300,D008569,DpS,Hetionet
MESH:D065631,D012893,DpS,Hetionet
MESH:D006973,D017566,DpS,Hetionet
MESH:D008881,D001037,DpS,Hetionet
DOID:11920,D003371,DpS,Hetionet
MESH:D004938,D006606,DpS,Hetionet
MESH:D001932,D003639,DpS,Hetionet
MESH:D009290,D020187,DpS,Hetionet
MESH:D012186,D004487,DpS,Hetionet
MESH:D018204,D006469,DpS,Hetionet
MESH:D014594,D020250,DpS,Hetionet
MESH:D004938,D014839,DpS,Hetionet
MESH:D006258,D006472,DpS,Hetionet
MESH:D003922,D015430,DpS,Hetionet
MESH:D000310,D054068,DpS,Hetionet
MESH:D002446,D005414,DpS,Hetionet
MESH:D018204,D004172,DpS,Hetionet
MESH:D001932,D003638,DpS,Hetionet
